('菜花', '1.95')
('散菜花', '2.5')
('绿菜花', '2.25')
('绿豆芽', '0.98')
('黄豆芽', '0.88')
('番茄', '5.5')
('番茄', '6.35')
('黄瓜', '4.75')
('黄瓜', '6.0')
('小黄瓜', '5.75')
('茄子', '2.8')
('长茄', '2.5')
('广茄', '3.05')
('线茄', '3.5')
('冬瓜', '1.35')
('冬瓜', '0.95')
('毛冬瓜', '2.65')
('架豆', '5.75')
('豆王', '6.0')
('扁豆', '6.5')
('菜花', '1.95')
('散菜花', '2.5')
('绿菜花', '2.25')
('绿豆芽', '0.98')
('黄豆芽', '0.88')
('番茄', '5.5')
('番茄', '6.35')
('黄瓜', '4.75')
('黄瓜', '6.0')
('小黄瓜', '5.75')
('茄子', '2.8')
('长茄', '2.5')
('广茄', '3.05')
('线茄', '3.5')
('冬瓜', '1.35')
('冬瓜', '0.95')
('毛冬瓜', '2.65')
('架豆', '5.75')
('豆王', '6.0')
('扁豆', '6.5')
('豇豆', '7.75')
('白不老', '6.5')
('油豆', '6.75')
('毛豆', '5.15')
('玉米', '2.75')
('花生', '5.25')
('苦瓜', '7.25')
('丝瓜', '4.25')
('西葫芦', '2.9')
('佛手瓜', '2.2')
('贝贝南瓜', '2.65')
('金丝南瓜', '1.5')
('板栗南瓜', '2.15')
('南北瓜', '0.95')
('尖椒', '5.6')
('红尖椒', '5.5')
('美人椒', '14.5')
('螺丝椒', '7.0')
('柿子椒', '4.2')
('线椒', '5.0')
('菜花', '1.95')
('散菜花', '2.5')
('绿菜花', '2.25')
('绿豆芽', '0.98')
('黄豆芽', '0.88')
('番茄', '5.5')
('番茄', '6.35')
('黄瓜', '4.75')
('黄瓜', '6.0')
('小黄瓜', '5.75')
('茄子', '2.8')
('长茄', '2.5')
('广茄', '3.05')
('线茄', '3.5')
('冬瓜', '1.35')
('冬瓜', '0.95')
('毛冬瓜', '2.65')
('架豆', '5.75')
('豆王', '6.0')
('扁豆', '6.5')
('豇豆', '7.75')
('白不老', '6.5')
('油豆', '6.75')
('毛豆', '5.15')
('玉米', '2.75')
('花生', '5.25')
('苦瓜', '7.25')
('丝瓜', '4.25')
('西葫芦', '2.9')
('佛手瓜', '2.2')
('贝贝南瓜', '2.65')
('金丝南瓜', '1.5')
('板栗南瓜', '2.15')
('南北瓜', '0.95')
('尖椒', '5.6')
('红尖椒', '5.5')
('美人椒', '14.5')
('螺丝椒', '7.0')
('柿子椒', '4.2')
('线椒', '5.0')
('杭椒', '6.4')
('小米椒', '17.5')
('彩椒', '7.5')
('白萝卜', '0.85')
('心里美', '1.6')
('卞萝卜', '1.05')
('青萝卜', '2.6')
('胡萝卜', '1.35')
('胡萝卜', '1.5')
('土豆', '0.85')
('土豆', '1.15')
('葱头', '0.77')
('葱头', '0.9')
('山药', '3.1')
('山药', '5.9')
('莲藕', '3.25')
('红薯', '1.35')
('红薯', '2.35')
('紫薯', '3.6')
('茭白', '6.25')
('菜花', '1.95')
('散菜花', '2.5')
('绿菜花', '2.25')
('绿豆芽', '0.98')
('黄豆芽', '0.88')
('番茄', '5.5')
('番茄', '6.35')
('黄瓜', '4.75')
('黄瓜', '6.0')
('小黄瓜', '5.75')
('茄子', '2.8')
('长茄', '2.5')
('广茄', '3.05')
('线茄', '3.5')
('冬瓜', '1.35')
('冬瓜', '0.95')
('毛冬瓜', '2.65')
('架豆', '5.75')
('豆王', '6.0')
('扁豆', '6.5')
('豇豆', '7.75')
('白不老', '6.5')
('油豆', '6.75')
('毛豆', '5.15')
('玉米', '2.75')
('花生', '5.25')
('苦瓜', '7.25')
('丝瓜', '4.25')
('西葫芦', '2.9')
